bedrooms,bathroom,balcony,parking,power_backup,bldg_age,furnishing,transit_score,Cement,Tiles,Wooden,Dont know,East,North,South,West,Bangalore,Chennai,Delhi,Faridabad,Ghaziabad,Gurgaon,Hyderabad,Mumbai,Noida,Pune,area,price
2,2,0.0,3,0,2,1,5.3,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6.396929655216146,15.424948470398375
3,3,2.0,3,1,2,0,7.6,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,7.649692623711514,17.776323727561852
2,2,0.0,1,0,4,1,5.3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,6.715383386334681,15.150511624696614
2,2,0.0,3,0,2,1,2.3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,7.134890851565884,16.012735135300492
3,3,0.0,3,0,2,1,5.3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,7.438383530044307,16.38045991542581
1,2,1.0,1,0,4,0,3.0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6.163314804034641,14.73180128983843
4,2,1.0,1,0,3,0,8.3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,6.666956792429207,16.523560759066484
2,2,2.0,3,2,2,1,5.3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,7.283448228756631,16.46875252257149
2,3,0.0,0,0,3,1,2.4,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7.090076835776092,15.687312734865866
3,3,1.0,3,2,2,1,6.7,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7.003065458786462,15.990262279448435
4,5,4.0,3,0,2,0,7.7,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7.844632644464681,17.553180176247643
2,2,1.0,3,1,6,0,8.5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7.047517221357296,16.012735135300492
2,2,0.0,1,0,4,0,5.3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,7.090076835776092,14.151982794585487
4,9,2.0,1,0,2,0,7.8,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,7.649692623711514,15.830413578506539
3,3,3.0,3,1,3,1,6.8,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7.24422751560335,15.89495209964411
4,4,0.0,3,2,2,0,2.9,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6.907755278982137,16.523560759066484
3,3,0.0,3,0,3,1,5.3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7.24422751560335,15.931766072766827
4,3,3.0,0,0,2,1,2.9,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,7.438383530044307,16.012735135300492
2,1,1.0,1,1,3,1,2.9,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6.1092475827643655,14.508657738524219
4,6,0.0,1,0,2,0,8.1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,7.696212639346407,15.830413578506539
3,3,1.0,3,0,6,2,7.9,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7.2078598714324755,16.41820024340866
2,1,1.0,3,1,2,1,5.0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6.856461984594587,15.747031969567487
3,2,1.0,3,2,6,1,7.9,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7.1308988302963465,16.213405830762646
3,3,2.0,3,0,3,1,4.7,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7.313220387090301,16.300417207752275
3,2,3.0,3,0,5,1,-10.0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7.090076835776092,16.300417207752275
3,2,0.0,3,1,2,2,5.3,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7.352441100243583,16.38045991542581
3,3,1.0,3,1,2,2,4.7,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,7.346010209913293,17.281246460764002
3,3,1.0,1,0,2,1,8.4,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7.783224016336037,18.023183805493378
2,3,3.0,2,2,3,1,4.3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,7.5126175446745105,16.64872390202049
3,3,0.0,2,0,3,1,3.2,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7.438383530044307,17.034386382832476
3,3,1.0,3,0,5,1,3.2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7.687080155783135,16.951004773893423
2,2,2.0,3,2,6,2,8.2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,7.150701457592526,16.38045991542581
3,2,0.0,3,0,2,0,7.7,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,7.600902459542082,17.711404181462537
2,2,0.0,0,0,2,0,8.2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6.214608098422191,15.687312734865866
